timestamp,depth_m,pressure_kpa,u
21.8,2.786,123.42,0.1106
22.0,2.8,123.77,0.1088
22.2,2.815,123.86,0.1047
22.4,2.802,123.72,0.1107
22.6,2.829,124.07,0.1119
22.8,2.831,124.01,0.0996
23.0,2.858,124.21,0.1009
23.2,2.886,124.47,0.1094
23.4,2.848,124.2,0.1134
23.6,2.886,124.49,0.1081
23.8,2.866,124.29,0.0904
24.0,2.858,124.22,0.1068
24.2,2.851,124.2,0.1068
24.4,2.852,124.18,0.1058
24.6,2.843,124.07,0.1053
24.8,2.814,123.83,0.1057
25.0,2.81,123.8,0.1063
25.2,2.791,123.63,0.0995
25.4,2.789,123.57,0.1105
25.6,2.764,123.24,0.1029
25.8,2.74,123.14,0.104
26.0,2.707,122.73,0.0948
26.2,2.718,122.82,0.1092
26.4,2.668,122.43,0.1156
26.6,2.658,122.33,0.1223
26.8,2.633,122.14,0.118
27.0,2.622,121.9,0.1215
27.2,2.586,121.59,0.1207
27.4,2.578,121.57,0.1209
27.6,2.541,121.22,0.1335
27.8,2.519,121.07,0.1197
28.0,2.496,120.77,0.1252
28.2,2.479,120.56,0.1138
28.4,2.463,120.44,0.1284
28.6,2.44,120.2,0.1275
28.8,2.424,120.0,0.1235
29.0,2.412,119.87,0.1175
29.2,2.388,119.64,0.1156
29.4,2.349,119.3,0.1209
29.6,2.366,119.43,0.1252
29.8,2.329,119.11,0.1369
30.0,2.348,119.26,0.121
30.2,2.303,118.88,0.1314
30.4,2.294,118.77,0.1267
30.6,2.288,118.63,0.1162
30.8,2.296,118.76,0.119
31.0,2.302,118.86,0.1313
31.2,2.314,118.87,0.1345
31.4,2.289,118.64,0.1212
31.6,2.293,118.76,0.1276
31.8,2.276,118.57,0.12
32.0,2.295,118.75,0.1255
32.2,2.292,118.74,0.1314
32.4,2.305,118.84,0.1229
32.6,2.279,118.6,0.1208
32.8,2.3,118.81,0.1276
33.0,2.309,118.88,0.1246
33.2,2.34,119.19,0.1295
33.4,2.334,119.13,0.1246
33.6,2.363,119.38,0.1268
33.8,2.348,119.24,0.1224
34.0,2.363,119.39,0.1236
34.2,2.389,119.65,0.127
34.4,2.428,120.1,0.1215
34.6,2.414,119.79,0.1297
34.8,2.416,119.96,0.124
35.0,2.466,120.48,0.124
35.2,2.459,120.39,0.1273
35.4,2.461,120.32,0.1243
35.6,2.49,120.67,0.1147
35.8,2.513,120.89,0.1191
36.0,2.514,120.85,0.1202
36.2,2.515,120.94,0.1231
36.4,2.514,120.98,0.1298
36.6,2.534,121.07,0.1205
36.8,2.561,121.39,0.1144
37.0,2.548,121.27,0.1141
37.2,2.579,121.5,0.118
37.4,2.582,121.57,0.1175
37.6,2.598,121.69,0.1243
37.8,2.614,121.91,0.1174
38.0,2.585,121.5,0.1169
38.2,2.62,121.87,0.1252
38.4,2.586,121.65,0.1071
38.6,2.602,121.74,0.1164
38.8,2.609,121.83,0.1102
39.0,2.596,121.71,0.1162
39.2,2.621,121.89,0.1152
39.4,2.618,121.99,0.1137
39.6,2.625,121.96,0.1159
39.8,2.607,121.79,0.111
40.0,2.618,121.94,0.1198
40.2,2.638,122.1,0.1125
40.4,2.643,122.13,0.1057
40.6,2.609,121.84,0.1179
40.8,2.6,121.74,0.1193
41.0,2.608,121.76,0.1059
41.2,2.593,121.62,0.1112
41.4,2.596,121.72,0.1137
41.6,2.591,121.68,0.1196
41.8,2.575,121.49,0.1095
42.0,2.576,121.49,0.1149
42.2,2.572,121.5,0.113
42.4,2.579,121.54,0.1151
42.6,2.548,121.24,0.1279
42.8,2.553,121.28,0.1147
43.0,2.535,121.17,0.1084
43.2,2.539,121.17,0.1088
43.4,2.519,120.96,0.1221
43.6,2.496,120.79,0.1184
43.8,2.5,120.69,0.1137
44.0,2.485,120.7,0.122
44.2,2.499,120.85,0.1216
44.4,2.481,120.59,0.1163
44.6,2.487,120.57,0.1144
44.8,2.478,120.48,0.1221
45.0,2.467,120.46,0.1175
45.2,2.463,120.38,0.1204
45.4,2.472,120.46,0.1293
45.6,2.465,120.42,0.1166
45.8,2.46,120.35,0.1303
46.0,2.446,120.16,0.1225
46.2,2.444,120.23,0.1173
46.4,2.428,120.05,0.1095
46.6,2.442,120.24,0.1182
46.8,2.434,120.14,0.1179
47.0,2.417,119.95,0.1174
47.2,2.445,120.24,0.1205
47.4,2.427,120.12,0.1233
47.6,2.426,120.0,0.1357
47.8,2.435,120.17,0.1225
48.0,2.421,120.01,0.1089
48.2,2.446,120.36,0.1252
48.4,2.441,120.22,0.1229
48.6,2.444,120.15,0.1313
48.8,2.438,120.19,0.1006
49.0,2.44,120.28,0.1268
49.2,2.447,120.21,0.1196
49.4,2.44,120.2,0.1173
49.6,2.454,120.3,0.1214
49.8,2.468,120.43,0.1239
50.0,2.468,120.39,0.1199
50.2,2.482,120.53,0.1236
50.4,2.481,120.49,0.1228
50.6,2.491,120.72,0.1226
50.8,2.478,120.47,0.1196
51.0,2.492,120.66,0.1206
51.2,2.488,120.68,0.1208
51.4,2.484,120.49,0.12
51.6,2.487,120.7,0.1242
51.8,2.492,120.76,0.1194
52.0,2.496,120.8,0.1244
52.2,2.504,120.76,0.1273
52.4,2.51,120.86,0.1194
52.6,2.524,120.96,0.1341
52.8,2.507,120.77,0.1227
53.0,2.523,120.97,0.1231
53.2,2.527,121.05,0.1103
53.4,2.504,120.77,0.1154
53.6,2.521,120.96,0.1247
53.8,2.523,121.06,0.1227
54.0,2.53,121.11,0.1216
54.2,2.535,121.22,0.1117
54.4,2.56,121.34,0.1075
54.6,2.539,121.17,0.1251
54.8,2.532,121.08,0.113
55.0,2.549,121.18,0.1128
55.2,2.536,121.1,0.1077
55.4,2.532,121.03,0.122
55.6,2.526,121.01,0.117
55.8,2.529,121.08,0.1194
56.0,2.551,121.21,0.1296
56.2,2.531,121.15,0.1045
56.4,2.526,121.04,0.1192
56.6,2.518,120.93,0.1222
56.8,2.511,120.92,0.1212
57.0,2.509,120.85,0.1243
57.2,2.536,121.17,0.1221
57.4,2.525,120.98,0.1247
57.6,2.535,121.09,0.1147
57.8,2.545,121.19,0.1223
58.0,2.509,120.85,0.1149
58.2,2.532,121.09,0.1222
58.4,2.518,120.91,0.1278
58.6,2.509,120.85,0.1251
58.8,2.51,120.84,0.1163
59.0,2.519,120.88,0.1219
59.2,2.514,120.84,0.1209
59.4,2.516,120.9,0.1182
59.6,2.514,120.86,0.1279
59.8,2.507,120.95,0.1147
60.0,2.494,120.67,0.1272
60.2,2.508,120.7,0.1333
60.4,2.491,120.66,0.1231
60.6,2.486,120.62,0.133
60.8,2.472,120.4,0.1253
61.0,2.504,120.8,0.1167
61.2,2.504,120.72,0.1209
61.4,2.467,120.47,0.1273
61.6,2.476,120.55,0.1254
61.8,2.492,120.66,0.1067
62.0,2.494,120.74,0.1247
62.2,2.453,120.32,0.1213
62.4,2.512,120.86,0.1146
62.6,2.481,120.55,0.1256
62.8,2.494,120.71,0.1156
63.0,2.473,120.46,0.1213
63.2,2.46,120.38,0.1269
63.4,2.472,120.54,0.1215
63.6,2.467,120.46,0.1196
63.8,2.485,120.51,0.1183
64.0,2.494,120.7,0.1223
64.2,2.476,120.5,0.1219
64.4,2.468,120.41,0.1158
64.6,2.473,120.53,0.1133
64.8,2.466,120.37,0.1242
65.0,2.487,120.64,0.1285
65.2,2.474,120.51,0.1205
65.4,2.463,120.41,0.1166
65.6,2.48,120.59,0.1207
65.8,2.495,120.74,0.1256
66.0,2.484,120.59,0.1201
66.2,2.485,120.52,0.1191
66.4,2.486,120.57,0.12
66.6,2.491,120.66,0.1232
66.8,2.517,120.92,0.1045
67.0,2.472,120.61,0.126
67.2,2.465,120.44,0.1208
67.4,2.493,120.57,0.1234
67.6,2.508,120.83,0.1223
67.8,2.492,120.65,0.1238
68.0,2.503,120.67,0.1169
68.2,2.501,120.8,0.1212
68.4,2.492,120.71,0.1198
68.6,2.505,120.91,0.1274
68.8,2.494,120.74,0.1084
69.0,2.524,121.03,0.1255
69.2,2.499,120.79,0.1156
69.4,2.496,120.67,0.109
69.6,2.538,121.09,0.1314
69.8,2.5,120.72,0.1213
70.0,2.525,120.95,0.1194
